log_M, ah, gh, qtil, b,  N,f
-2.16869, 9.97851, 0.209621, 0.0012107 ,0.214403, 197.734 ,-702.568
-2.15856, 9.95904, 0.210047, 0.001391 ,0.745768, 166.748 ,-701.827
-2.03634, 9.99576, 0.159879, 0.00138169 ,0.137225, 271.646 ,-701.702
-2.2036, 9.8731, 0.172479, 0.00108586 ,0.291469, 218.672 ,-701.731
-2.24573, 9.93066, 0.148288, 0.000999712 ,0.0511232, 188.237 ,-701.735
-2.1457, 10.1782, 0.239338, 0.00115231 ,0.13423, 229.999 ,-698.988
-2.43949, 9.72869, 0.180199, 0.00102814 ,0.0663393, 114.535 ,-700.098
-2.2396, 9.96997, 0.177992, 0.0010466 ,0.510843, 214.953 ,-701.01
-2.35779, 9.77807, 0.214074, 0.000599769 ,0.692218, 111.848 ,-700.333
-2.25026, 10.0599, 0.205312, 0.000632998 ,0.368524, 167.468 ,-701.553
-2.11099, 10.0422, 0.149661, 0.000645202 ,0.533669, 220.838 ,-701.216
-2.18913, 9.75629, 0.203455, 0.000773345 ,0.00757077, 160.881 ,-700.235
-1.96692, 9.87256, 0.107532, 0.000548002 ,0.345771, 235.966 ,-695.316
-2.11391, 9.73156, 0.16869, 0.000474523 ,0.342669, 124.627 ,-697.363
-2.26893, 9.92499, 0.159283, 0.000441774 ,0.0707274, 172.553 ,-702.024
-2.155, 9.9922, 0.168301, 0.00056034 ,0.746567, 190.25 ,-702.402
-2.12362, 10.12, 0.215073, 0.000542349 ,0.550603, 194.092 ,-701.264
-2.18764, 9.93845, 0.192777, 0.000707704 ,0.851934, 176.145 ,-702.305
-2.36213, 9.26789, 0.0894459, 0.000601979 ,0.0983523, 95.4938 ,-696.635
-2.08508, 10.326, 0.26418, 0.000878953 ,0.612973, 167.107 ,-697.176
-2.21708, 10.102, 0.221538, 0.000703275 ,0.14173, 135.03 ,-701.308
-2.23494, 9.96651, 0.231549, 0.000644042 ,0.0771672, 132.224 ,-701.853
-2.18071, 9.85656, 0.238479, 0.000902206 ,0.13388, 138.85 ,-700.215
-1.9817, 10.0727, 0.204568, 0.000785238 ,0.35309, 301.795 ,-699.963
-2.39094, 9.81894, 0.213114, 0.000882264 ,0.709339, 155.643 ,-699.006
-2.35087, 9.60624, 0.172143, 0.00070922 ,0.360291, 108.598 ,-699.154
-2.01671, 10.0186, 0.140261, 0.00068569 ,0.698706, 309.536 ,-699.674
-2.10459, 9.83031, 0.155942, 0.000427705 ,1.01734, 178.142 ,-699.873
-2.30806, 9.80538, 0.135079, 0.000653248 ,0.624542, 161.129 ,-700.604
-2.42811, 9.29327, 0.0660927, 0.000456772 ,0.11158, 130.247 ,-698.815
-2.40849, 9.93224, 0.297274, 0.000238516 ,0.343997, 97.1778 ,-698.907
-2.14124, 9.9586, 0.202584, 0.000199897 ,0.964122, 191.275 ,-702.478
-2.06905, 9.98555, 0.156789, 0.000126213 ,1.12746, 279.015 ,-700.968
-2.52026, 9.97583, 0.213959, 0.000174564 ,1.02866, 116.611 ,-697.941
-2.27084, 9.64007, 0.146271, 0.000230781 ,0.0759758, 172.666 ,-699.768
-2.31167, 9.81807, 0.15996, 0.000377347 ,0.671698, 176.544 ,-700.799
-2.16308, 9.95075, 0.246952, 0.000638561 ,0.192842, 231.561 ,-699.96
-2.26698, 9.80403, 0.1387, 0.000782964 ,1.12174, 153.445 ,-699.36
-2.029, 9.93213, 0.234678, 0.000776208 ,0.0240148, 208.494 ,-699.781
-2.16649, 9.96526, 0.237627, 0.000934241 ,0.211135, 219.544 ,-701.055
-2.15581, 9.8456, 0.160207, 0.00131205 ,0.56606, 189.821 ,-701.829
-2.13103, 10.0903, 0.248794, 0.00144057 ,0.335293, 169.751 ,-701.354
-2.33124, 9.64355, 0.128562, 0.00124339 ,0.742972, 113.58 ,-699.356
-2.25941, 9.7939, 0.155509, 0.00132374 ,0.357493, 140.304 ,-701.49
-2.16304, 9.91627, 0.152442, 0.00171818 ,0.551149, 160.498 ,-701.753
-2.09194, 9.89597, 0.183922, 0.00121854 ,0.219346, 228.256 ,-702.133
-2.1275, 9.92541, 0.226894, 0.00142488 ,0.889502, 173.447 ,-699.966
-2.10037, 9.97004, 0.159181, 0.0015071 ,0.0236385, 196.125 ,-702.441
-2.2534, 9.98229, 0.110282, 0.00167665 ,0.182796, 190.731 ,-698.956
-2.42021, 9.44515, 0.10492, 0.00180298 ,0.317831, 113.016 ,-699.186
-2.28094, 10.0149, 0.239217, 0.00159221 ,0.543517, 119.764 ,-701.182
-2.18926, 9.88294, 0.209251, 0.00141683 ,0.2186, 154.425 ,-702.03
-2.26318, 9.89258, 0.191548, 0.00160553 ,0.575038, 177.241 ,-701.778
-2.29503, 10.2999, 0.269341, 0.00142554 ,0.477456, 90.6181 ,-697.354
-2.00877, 9.91026, 0.172438, 0.00137089 ,0.521849, 209.369 ,-700.257
-2.26081, 9.98706, 0.145737, 0.0013993 ,0.325744, 162.42 ,-701.303
-2.20992, 9.87995, 0.150727, 0.0013138 ,0.592746, 202.438 ,-701.628
-2.23929, 10.026, 0.217292, 0.00140286 ,0.132155, 163.943 ,-702.111
-2.1518, 10.0012, 0.155149, 0.00128491 ,0.167668, 248.99 ,-701.203
-2.49606, 9.21834, 0.0478629, 0.00132319 ,0.349946, 116.26 ,-698.254
-2.5481, 9.22652, 0.0681906, 0.00133886 ,0.802504, 86.0923 ,-697.19
-2.08825, 10.0504, 0.194511, 0.00141967 ,0.130647, 214.207 ,-702.201
-2.07756, 10.0116, 0.17676, 0.00157941 ,0.609016, 277.873 ,-701.115
-2.17483, 9.97723, 0.12265, 0.00156253 ,0.333768, 168.575 ,-700.81
-2.01394, 10.0576, 0.162201, 0.00134752 ,0.0559874, 237.513 ,-700.814
-2.22272, 10.067, 0.235991, 0.00138087 ,0.390936, 172.352 ,-701.511
-2.08418, 9.9223, 0.178847, 0.0012286 ,0.615832, 157.368 ,-700.657
-2.21889, 10.0187, 0.214389, 0.00109125 ,0.302421, 157.22 ,-702.354
-2.12752, 10.0824, 0.207985, 0.00117036 ,0.231099, 210.915 ,-701.749
-2.18307, 9.98822, 0.180351, 0.0010256 ,0.589137, 155.521 ,-702.299
-2.38671, 9.9412, 0.252204, 0.00112869 ,1.02704, 102.071 ,-699.234
-2.53931, 10.461, 0.355508, 0.000980392 ,0.633032, 74.7603 ,-694.703
-2.22782, 10.0116, 0.158287, 0.000882163 ,0.124589, 207.278 ,-700.886
-2.05248, 9.99411, 0.170157, 0.00114192 ,0.0437593, 242.36 ,-702.275
-2.3326, 9.88921, 0.195827, 0.00102694 ,0.507155, 126.883 ,-701.753
-2.27815, 9.88371, 0.190961, 0.000727042 ,0.957727, 153.011 ,-701.534
-1.94078, 10.0008, 0.176622, 0.00112363 ,0.441946, 337.434 ,-699.287
-2.32859, 9.5285, 0.129748, 0.000983465 ,0.552112, 93.3867 ,-698.085
-2.11314, 10.0599, 0.243142, 0.0011827 ,0.582777, 204.827 ,-701.301
-2.29931, 9.66445, 0.152015, 0.00145889 ,0.47735, 114.538 ,-699.849
-2.11333, 10.029, 0.200611, 0.00134171 ,0.858834, 164.29 ,-700.629
-2.26195, 10.0795, 0.266838, 0.00129908 ,0.169055, 143.76 ,-700.987
-2.18436, 10.09, 0.236948, 0.00128969 ,0.411321, 201.115 ,-700.992
-2.093, 9.89415, 0.11597, 0.00167421 ,0.191535, 214.235 ,-700.032
-2.34428, 9.93859, 0.147074, 0.00151211 ,0.510003, 100.547 ,-699.84
-2.22607, 9.8784, 0.159014, 0.0016993 ,0.258377, 198.136 ,-701.918
-2.19399, 9.83216, 0.199587, 0.00169351 ,0.157201, 147.252 ,-701.534
-2.13834, 10.0149, 0.189622, 0.0013215 ,0.0379972, 193.533 ,-702.716
-2.07946, 9.89541, 0.176217, 0.00150003 ,0.0230913, 223.231 ,-702.111
-2.17607, 9.98689, 0.218677, 0.001669 ,0.286906, 185.201 ,-702.43
-2.26767, 9.83892, 0.168653, 0.00155231 ,1.16705, 196.432 ,-697.05
-2.32894, 9.79794, 0.209918, 0.00159685 ,0.109569, 84.8978 ,-698.851
-2.48698, 10.1528, 0.18045, 0.00175104 ,0.193713, 87.5851 ,-696.558
-2.1261, 10.4194, 0.27765, 0.00170446 ,0.47127, 232.34 ,-692.095
-2.28097, 10.0754, 0.179264, 0.00140032 ,0.393158, 140.554 ,-700.689
-2.13646, 9.95781, 0.101293, 0.00125102 ,0.712975, 251.228 ,-698.172
-2.26618, 9.7889, 0.189199, 0.00117316 ,0.390565, 144.464 ,-701.504
-2.08268, 10.099, 0.270313, 0.001444 ,0.72498, 238.931 ,-698.82
-2.35675, 9.94126, 0.116613, 0.00131784 ,0.141847, 143.685 ,-699.097
-2.05685, 9.89315, 0.204259, 0.0018574 ,0.146694, 223.218 ,-701.103
-2.18369, 10.0086, 0.151038, 0.00183471 ,0.627872, 182.627 ,-701.382
-2.21512, 9.94099, 0.177101, 0.00178207 ,0.276821, 157.24 ,-702.639
-2.31035, 9.94864, 0.194299, 0.00176878 ,0.417014, 123.185 ,-701.773
-2.13469, 9.88046, 0.162728, 0.00165678 ,0.690764, 222.035 ,-701.509
-1.98402, 10.0106, 0.186143, 0.00187853 ,0.277634, 233.18 ,-700.862
-2.1496, 9.91285, 0.244867, 0.00183706 ,0.354348, 166.186 ,-700.738
-2.46827, 9.45932, 0.183029, 0.0017751 ,0.614353, 88.4673 ,-695.065
-2.22973, 9.92566, 0.153853, 0.00167248 ,0.0633596, 176.304 ,-702.297
-2.28253, 9.96846, 0.210345, 0.00203602 ,0.547373, 148.37 ,-701.842
-2.06251, 9.90791, 0.126772, 0.00195062 ,0.231908, 208.347 ,-700.381
-2.16269, 9.86313, 0.202173, 0.00214225 ,0.392454, 185.498 ,-701.829
-2.3948, 9.68738, 0.214059, 0.00211263 ,0.966502, 81.7621 ,-696.274
-2.31612, 9.86603, 0.146447, 0.00242412 ,0.143573, 180.394 ,-700.411
-2.01279, 10.0206, 0.185453, 0.00267188 ,0.0079791, 263.824 ,-701.563
-2.05789, 10.0313, 0.155165, 0.0025644 ,0.0314741, 282.756 ,-700.857
-2.15183, 9.94173, 0.216177, 0.00257327 ,0.643547, 207.384 ,-701.352
-2.23664, 9.91281, 0.234985, 0.00289181 ,0.185758, 153.513 ,-701.576
-2.00588, 10.1611, 0.190312, 0.00260016 ,0.130635, 158.358 ,-697.135
-2.15759, 9.75111, 0.195288, 0.00244949 ,0.438709, 179.049 ,-699.714
-2.0215, 9.9908, 0.13529, 0.002095 ,0.253604, 254.925 ,-700.805
-2.38999, 10.0139, 0.232663, 0.00186369 ,0.89796, 82.1482 ,-698.368
-2.32493, 9.83149, 0.164903, 0.00168755 ,0.0888898, 146.026 ,-701.621
-2.18327, 10.0261, 0.182406, 0.001706 ,0.697892, 214.073 ,-701.149
-2.13319, 9.85652, 0.196072, 0.00161463 ,0.477693, 256.768 ,-700.296
-2.5135, 9.95113, 0.357575, 0.001741 ,0.429597, 68.5628 ,-696.009
-2.31872, 9.81937, 0.179267, 0.0018996 ,0.39416, 100.925 ,-700.431
-2.37276, 9.64575, 0.18856, 0.00198555 ,0.0666418, 117.266 ,-699.308
-2.01987, 9.9416, 0.157953, 0.00215112 ,0.440583, 264.868 ,-701.126
-2.36734, 9.9309, 0.169729, 0.00211901 ,0.720614, 118.953 ,-700.606
-2.10581, 9.96364, 0.156794, 0.00214713 ,0.125721, 320.482 ,-699.8
-2.10981, 9.86861, 0.118011, 0.00225614 ,0.143554, 200.661 ,-699.988
-2.27845, 10.0809, 0.212579, 0.0023542 ,0.109011, 126.667 ,-701.159
-2.0917, 9.89732, 0.182603, 0.00240493 ,0.0271435, 228.832 ,-702.145
-2.17336, 10.0632, 0.223281, 0.00233152 ,0.0517626, 156.886 ,-701.985
-2.15438, 10.1366, 0.219722, 0.00234401 ,0.177075, 194.561 ,-700.817
-2.21512, 9.9254, 0.148431, 0.00215519 ,0.611081, 161.625 ,-701.675
-2.06089, 9.91626, 0.225905, 0.00190528 ,0.223973, 232.857 ,-700.466
-2.07704, 10.0104, 0.281125, 0.00197289 ,0.106405, 137.183 ,-697.9
-2.02848, 10.0779, 0.14841, 0.00199589 ,0.0675911, 269.771 ,-699.47
-2.48334, 9.43718, 0.133027, 0.00213739 ,0.0523544, 72.2826 ,-697.007
-2.49984, 9.32336, 0.0488695, 0.0019753 ,1.06391, 89.6579 ,-695.204
-2.07076, 9.92768, 0.18349, 0.00188421 ,0.827617, 206.647 ,-700.313
-2.26053, 9.97796, 0.270284, 0.00161784 ,0.685211, 129.192 ,-700.261
-2.11766, 9.87798, 0.180291, 0.00184602 ,0.191988, 194.133 ,-702.218
-2.20371, 9.93835, 0.184531, 0.00196248 ,0.113499, 182.771 ,-702.775
-2.13195, 10.0781, 0.204242, 0.00213213 ,0.17257, 162.898 ,-701.671
-2.11489, 10.0001, 0.214344, 0.00217432 ,0.631, 195.317 ,-701.772
-2.16878, 9.81862, 0.194195, 0.00200353 ,0.688789, 212.56 ,-700.289
-2.14451, 10.0795, 0.152812, 0.00198089 ,0.35262, 155.421 ,-700.04
-2.09099, 9.93594, 0.15935, 0.00193632 ,0.217696, 277.685 ,-701.546
-2.38241, 9.95038, 0.163799, 0.00188128 ,0.179841, 119.544 ,-700.79
-2.16133, 9.82611, 0.18336, 0.00151524 ,0.317226, 234.607 ,-700.853
-2.30509, 9.88687, 0.167925, 0.00146995 ,0.298297, 198.875 ,-700.171
-2.10979, 9.92162, 0.13219, 0.00151106 ,0.459234, 268.12 ,-700.598
-2.1739, 9.92008, 0.216119, 0.00169601 ,0.606746, 127.258 ,-700.543
-2.28533, 9.87018, 0.262758, 0.00170545 ,0.228423, 146.431 ,-699.701
-2.14048, 9.99296, 0.180825, 0.00198201 ,0.782948, 219.037 ,-701.299
-2.19977, 9.96979, 0.159258, 0.0020047 ,0.225683, 131.203 ,-701.31
-2.22637, 9.77578, 0.206974, 0.00205243 ,0.196879, 112.154 ,-699.436
-2.19956, 10.039, 0.163062, 0.00196049 ,0.128508, 154.786 ,-701.56
-2.21966, 9.93749, 0.181529, 0.00193084 ,0.064403, 242.287 ,-700.528
-2.12016, 9.85376, 0.183141, 0.00207078 ,0.295995, 189.688 ,-701.792
-2.13911, 10.0751, 0.161297, 0.00189576 ,0.10777, 238.379 ,-700.11
-2.05544, 10.1757, 0.228757, 0.00192544 ,0.0895395, 209.744 ,-699.892
-2.20177, 9.95838, 0.246666, 0.0017306 ,0.606686, 145.192 ,-701.079
-2.10447, 9.90828, 0.193799, 0.00214891 ,0.650851, 149.846 ,-700.199
-2.09636, 9.91009, 0.181961, 0.00212613 ,0.133246, 299.247 ,-700.54
-2.16356, 9.84818, 0.191161, 0.00238022 ,0.864044, 160.788 ,-699.669
-2.19703, 9.9624, 0.22228, 0.00243515 ,0.187957, 161.324 ,-702.319
-2.23827, 9.91626, 0.157612, 0.00243049 ,0.571591, 201.448 ,-701.234
-2.23101, 10.009, 0.241462, 0.00250122 ,0.481014, 215.913 ,-699.588
-2.14185, 10.0223, 0.183266, 0.00245413 ,0.286042, 206.892 ,-702.361
-2.31701, 9.89369, 0.235458, 0.00258126 ,0.45508, 141.87 ,-700.838
-2.18641, 9.90951, 0.21835, 0.00261712 ,0.502459, 218.362 ,-700.831
-2.11206, 10.0057, 0.214897, 0.00276592 ,0.16659, 160.96 ,-701.771
-2.34743, 9.40218, 0.101172, 0.00284851 ,0.216748, 108.437 ,-698.863
-1.95576, 9.96358, 0.196384, 0.00293245 ,0.109757, 198.065 ,-698.645
-2.35176, 9.69567, 0.127436, 0.00274942 ,0.0732736, 154.268 ,-699.566
-2.10863, 10.2016, 0.237494, 0.00264009 ,0.172163, 151.884 ,-699.486
